id;label;groupe;condition
01.1.A_2021;Hygiène production végétale - Exigences générales;saison;été
01.1.B_2021;Hygiène production végétale - Produits phytosanitaires et biocides;saison;été
03.30_v1;Prot.anim. - bovins, avec buffles et yacks;saison;été
03.31_v1;Prot.anim. - équidés;saison;été
03.32_v1;Prot.anim. - chèvres;saison;été
03.33_v1;Prot.anim. - moutons;saison;été
03.34_v1;Prot.anim. - porcs;saison;été
03.35_v1;Prot.anim. - lapins;saison;été
03.36_v1;Prot.anim - poules pondeuses;saison;été
03.37_v1;Prot.anim. - volaille à l'engrais;saison;été
03.38_v1;Prot.anim. - lamas et alpagas;saison;été
03.41_v1;Prot.anim. - oies domestiques-canards;saison;été
03.42_v1;Prot.anim. - cerfs;saison;été
03.43_v1;Prot.anim. - Autruches;saison;été
03.60_v1;Interventions entrainant des douleurs;saison;été
07.01_2023;PER Généralités;saison;été
07.02_2024;PER Documents / enregistrements;saison;été
07.03_2025;PER Part appropriée de surface de promotion de la biodiversité;saison;été
07.04_2021;PER Bordures tampon;saison;été
07.06_2021;PER Grandes cultures et culture maraîchère / surface herbagère : rotation des cultures;saison;été
07.07_2021;PER Grandes cultures et culture maraîchère : Protection du sol;saison;été
07.08_2025;PER Grandes cultures et culture maraîchère / surface herbagère : protection phytosanitaire;saison;été
07.09_2021;PER Arboriculture;saison;été
07.10_2021;PER Baies;saison;été
07.11_2021;PER Viticulture;saison;été
07.12_2023;PER Généralités ferme & champ;saison;été
07.13_2025;PER ruissellement et dérive;saison;été
08.01_2021;QI A - Prairies extensives;saison;été
08.02_2021;QI B - Prairies peu intensives;saison;été
08.03_2021;QI C - Pâturages extensifs;saison;été
08.04_2021;QI D - Pâturages boisés;saison;été
08.05_2021;QI E - Surfaces à litière;saison;été
08.06_2021;QI F - haies, bosquets champêtres et berges boisées;saison;été
08.07_2021;QI G - prairies riveraines d'un cours d'eau d'un cours d'eau;saison;été
08.08_2021;QI H - Jachères florales;saison;été
08.09_2021;QI I - Jachères tournantes;saison;été
08.10_2021;QI J - Bande culturale extensive;saison;été
08.11_2021;QI K - Ourlet sur terres assolées;saison;été
08.12_2021;QI L - Arbres fruitiers haute-tige;saison;été
08.13_2021;QI M - Arbres isolés indigènes adaptés au site et allées d'arbres;saison;été
08.14_2021;QI N - Surfaces viticoles présentant une biodiversité naturelle;saison;été
08.15_2021;QI P - Surfaces de promotion de la biodiversité spécifiques à la région;saison;été
08.26_2017;Sans contribution Q - Fossés humides, mares, étangs;saison;été
08.27_2017;Sans contribution R - Surfaces rudérales, tas d'épierrage et affleurements rocheux;saison;été
08.28_2017;Sans contribution S - Murs de pierres sèches;saison;été
08.29_2017;Surfaces exclues des SPB;saison;été
08.40_2023;Biodiversité fonctionnelle_bandes semées pour organismes utiles;saison;été
09.01_2017;Généralités concernant l'agriculture biologique;saison;été
09.02_2018;Production végétale bio;saison;été
09.03_2017;Semences et plants bio;saison;été
09.04_2017;Cultures spéciales bio;saison;été
09.07_2017;Garde des animaux / Élevage bio: généralités;saison;été
09.08_2017;Elevage bio - exigences spécifiques pour les porcs;saison;été
09.09_2017;Elevage bio - exigences spécifiques pour la volaille;saison;été
09.10_2017;Elevage bio ' exigences spécifiques pour les autres espèces animales;saison;été
11.01_2021;Production de lait et de viande basée sur les herbages;saison;été
12.04_2023;SST-Porcins;saison;été
12.05_2023;SST-Lapins;saison;été
12.06_2021;SST-Volaille de rente;saison;été
12.20_2026;SRPA Bovins, buffles d'Asie, yaks;saison;été
12.21_2025;SRPA Equidés;saison;été
12.22_2025;SRPA Caprins;saison;été
12.23_2025;SRPA Ovins;saison;été
12.24_2025;SRPA Porcins;saison;été
12.25_2025;SRPA Volaille de rente;saison;été
12.26_2025;SRPA Animaux sauvages;saison;été
12.30_2023;Contribution à la mise au pâturage;saison;été
12.31_2023;Contribution à la mise au pâturage_part de mise au pâturage;saison;été
16.01_2023;Non-recours aux PPh dans les grandes cultures;saison;été
16.02_2023;Non-recours aux PPh dans les cultures maraîchères et les cultures de petits fruits;saison;été
16.03_2023;Non-recours aux insecticides, acaricides et fongicides après la floraison dans les cultures pérennes;saison;été
16.04_2023;Exploitation des cultures pérennes à l'aide d'intrants conformes à l'agriculture biologique;saison;été
16.05_2023;Non-recours aux herbicides dans les grandes cultures et les cultures spéciales;saison;été
18.01_2023;Couverture appropriée du sol;saison;été
18.02_2024;Techniques culturales préservant le sol;saison;été
19.01_2023;Utilisation efficiente de l'azote dans les grandes cultures;saison;été
20.01_2021;Protection des eaux;saison;été
30.01_2024;Protection de l'air;saison;été
01.2_v4;Hygiène de la production primaire animale;saison;hiver
01.3_v3opt;Hygiène du lait;saison;hiver
01.4_v6;Médicaments vétérinaire;saison;hiver
02.1_v4opt;Santé animale;saison;hiver
02.2_v6;Trafic des animaux;saison;hiver
03.30_v1;Prot.anim. - bovins, avec buffles et yacks;saison;hiver
03.31_v1;Prot.anim. - équidés;saison;hiver
03.32_v1;Prot.anim. - chèvres;saison;hiver
03.33_v1;Prot.anim. - moutons;saison;hiver
03.34_v1;Prot.anim. - porcs;saison;hiver
03.35_v1;Prot.anim. - lapins;saison;hiver
03.36_v1;Prot.anim - poules pondeuses;saison;hiver
03.37_v1;Prot.anim. - volaille à l'engrais;saison;hiver
03.38_v1;Prot.anim. - lamas et alpagas;saison;hiver
03.41_v1;Prot.anim. - oies domestiques-canards;saison;hiver
03.42_v1;Prot.anim. - cerfs;saison;hiver
03.43_v1;Prot.anim. - Autruches;saison;hiver
03.60_v1;Interventions entrainant des douleurs;saison;hiver
12.01_2023;SST-Bovins et buffles d`Asie;saison;hiver
12.02_2021;SST-Equidés;saison;hiver
12.03_2021;SST-Chèvres;saison;hiver
12.04_2023;SST-Porcins;saison;hiver
12.05_2023;SST-Lapins;saison;hiver
12.06_2021;SST-Volaille de rente;saison;hiver
12.20_2026;SRPA Bovins, buffles d'Asie, yaks;saison;hiver
12.21_2025;SRPA Equidés;saison;hiver
12.22_2025;SRPA Caprins;saison;hiver
12.23_2025;SRPA Ovins;saison;hiver
