rubrique;controle
07.01_2023;Carnet des prés/champs
07.01_2023;Bilan de fumure
07.06_2021;Carnet des prés/champs
07.06_2021;Journal des traitements (cultures)
07.06_2021;Visite de parcelles
07.09_2021;Carnet des prés/champs
07.09_2021;Journal des traitements (cultures)
07.09_2021;Visite de parcelles
07.11_2021;Journal des traitements (cultures)
07.11_2021;Visite de parcelles
12.01_2023;Visite des écuries
12.02_2021;Visite des écuries
